"paperID","Article.Title","DOI","Pub_Year","Source.Title","Authors","latitude_site_decimal","longitude_site_decimal","Open_access","Data_access","survey","tot_area","BIOME_NAME","ECO_NAME","biome_keep","area_keep","district_keep","cor.lat","cor.long","cor.country","dists","tot.auth","prop.India"
"A0271","The influence of abiotic and spatial variables on woody and herbaceous species abundances in a woodland-grassland system in the Eastern Terai of India","https://doi.org/10.1093/jpe/rtab080",2021,"JOURNAL OF PLANT ECOLOGY","Das, D; Banerjee, S; Lehmkuhl, J; Krishnaswamy, J; John, R",26.75,91,"y","n","plot-based or transects",0.1206,"Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests",1,1,1,23.661042,88.2339475,"India",442.52,7,0.714285714285714
"A0272","Ecological Networks in Urban Forest Fragments Reveal Species Associations between Native and Invasive Plant Communities","https://doi.org/10.3390/plants11040541 ",2022,"PLANTS-BASEL","Chauhan, S; Yadav, G; Babu, S",28.522346,77.245399,"y","n","plot-based or transects",NA,"Tropical & Subtropical Moist Broadleaf Forests","Upper Gangetic Plains moist deciduous forests",1,1,1,28.5306795,77.1664768,"India",7.77,5,1
"A0279","Spatial pattern of tree diversity and impacts of ecological disturbances on forest structure in tropical deciduous forests of Central India","https://doi.org/10.1111/btp.13068 ",2022,"BIOTROPICA","Kumar, A; Kumar, G; Saikia, P; Khare, PK; Khan, ML",23.3042834,78.5686889,"y","y","plot-based or transects",2.06,"Tropical & Subtropical Dry Broadleaf Forests","Narmada Valley dry deciduous forests",1,1,0,23.8265828,78.7751302,"India",61.84,5,1
"A0282","Synergistic evaluation of Sentinel 1 and 2 for biomass estimation in a tropical forest of India","https://doi.org/10.1016/j.asr.2021.03.035",2022,"ADVANCES IN SPACE RESEARCH","Malhi, RKM; Anand, A; Srivastava, PK; Chaudhary, SK; Pandey, MK; Behera, MD; Kumar, A; Singh, P; Kiran, GS",21.51666667,73.625,"y","unsure","plot-based or transects",0.034993854,"Tropical & Subtropical Dry Broadleaf Forests","Khathiar-Gir dry deciduous forests",1,1,1,25.3176452,82.9739144,"India",1044.13,9,1
"A0289","Impact of anthropogenic disturbances on the liana diversity and need for conservation of resource valued species- Evidences from Indian tropical dry evergreen forests","https://doi.org/10.6165/tai.2022.67.129",2022,"TAIWANIA","Nath, S; Babu, KN; Dilshad, K; Dar, AA; Parthasarathy, N",12.165,75.92444444,"y","y","plot-based or transects",0.02,"Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests",1,1,1,12.0620765,79.8240715,"India",424.59,7,1
"A0292","Carbon sequestration potential and CO2 fluxes in a tropical forest ecosystem","https://doi.org/10.1016/j.ecoleng.2022.106541 ",2022,"ECOLOGICAL ENGINEERING","Yadav, VS; Yadav, SS; Gupta, SR; Meena, RS; Lal, R; Sheoran, NS; Jhariya, MK",28.7478411,75.8617575,"y","n","plot-based or transects",0.00288,"Deserts & Xeric Shrublands","Aravalli west thorn scrub forests",1,1,1,25.2774555,83.0019211,"India",806.4,7,0.857142857142857
"A0301","An updated checklist of vascular epiphytes in the Darjeeling Himalaya, India ","https://doi.org/10.15560/18.6.1279",2022,"CHECK LIST","Rai, P; Moktan, S",27.036007,88.262672,"y","y","checklist",0.0225,"Temperate Broadleaf & Mixed Forests","Eastern Himalayan broadleaf forests",1,1,1,22.5274489,88.364021,"India",501.99,2,1
"A0304","Forest trees of Odisha, India: An updated checklist","https://doi.org/10.14719/pst.1972",2022,"PLANT SCIENCE TODAY","Das, PK; Sahoo, T; Panda, PC",20.185,84.465,"y","y","checklist",NA,"Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests",1,1,1,20.2915796,85.7564107,"India",135.4,3,1
"A0305","NOVEL APPROACH FOR FOREST ALLOMETRIC EQUATION MODELLING WITH RANSAC SHAPE DETECTION USING TERRESTRIAL LASER SCANNER","https://doi.org/10.5194/isprs-archives-XLVIII-4-W4-2022-133-2022",2022,"17TH 3D GEOINFO CONFERENCE","Singh, A; Kushwaha, SKP; Nandy, S; Padalia, H",30.12,78.225,"y","n","unsure",0.008125,"Tropical & Subtropical Moist Broadleaf Forests","Upper Gangetic Plains moist deciduous forests",1,1,1,27.5705886,80.0981869,"India",337.48,5,0.8
"A0353","Active restoration fosters better recovery of tropical rainforest birds than natural regeneration in degraded forest fragments","https://doi.org/10.1111/1365-2664.14052",2022,"JOURNAL OF APPLIED ECOLOGY","Hariharan, P; Raman, TRS",10.3,76.92,"y","y","plot-based or transects",0.0276,"Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests",1,1,1,29.6471752,-82.3572678,"United States of America",15066.21,4,0.5
"A0357","Long-Term Impact of Transhumance Pastoralism and Associated Disturbances in High-Altitude Forests of Indian Western Himalaya","https://doi.org/10.3390/su132212497 ",2021,"SUSTAINABILITY","Haq, SM; Yaqoob, U; Calixto, ES; Kumar, M; Rahman, IU; Hashem, A; Abd Allah, EF; Alakeel, MA; Alqarawi, AA; Abdalla, M; Lone, FA; Khan, MA; Khan, U; Ijaz, F",34.35,74.05,"y","y","plot-based or transects",0.24,"Temperate Broadleaf & Mixed Forests","Western Himalayan broadleaf forests",1,1,1,31.5203696,74.3587473,"Pakistan",316.31,15,0.333333333333333
"A0361","Biomass, carbon storage and CO2 mitigation potential of two riparian sites of northern Chhattisgarh, India","https://doi.org/10.1007/s12665-021-10019-8",2021,"ENVIRONMENTAL EARTH SCIENCES","Kujur, E; Jhariya, MK; Yadav, DK; Banerjee, A",23,83.25,"y","n","plot-based or transects",0.004,"Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests",1,1,1,23.1145687,83.1885839,"India",14.22,4,1
"A0364","Biomass Production Assessment in a Protected Area of Dry Tropical forest Ecosystem of India: A Field to Satellite Observation Approach","https://doi.org/10.3389/fenvs.2021.757976",2021,"FRONTIERS IN ENVIRONMENTAL SCIENCE","Thakur, TK; Patel, DK; Thakur, A; Kumar, A; Bijalwan, AA; Bhat, JA; Kumar, A; Dobriyal, MJ; Kumar, M; Kumar, A",21.60833,82.625,"y","unsure","plot-based or transects",0.016,"Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests",1,1,1,32.0568391,118.7789602,"China",3754.57,10,0.9
